LFARG,LFFUNC,LFVAL
будущее,BON,светлый
будущее,MAGN,далекий
обиход,INCEPOPER1,входить
начало,LOC,в
статья,LOC,в
задача,S0_CAUSFACT0-M,решение
задача,S0_CAUSFACT0-M,решение
требование,REAL2-M,отвечать
результат,OPER1,давать
результат,OPER1,давать
результат,OPER1,давать
роль,OPER1,играть
роль,MAGN,важный
определять,MAGN,точно
задача,S0_CAUSFACT0-M,решение
задача,S0_CAUSFACT0-M,решение
задача,CAUSFUNC0,ставить
задача,S0_CAUSFACT0-M,решение
задача,S0_CAUSFACT0-M,решение
задача,CAUSFUNC0,ставить
задача,S0_CAUSFACT0-M,решение
цель,S0_REAL1-M,достижение
уровень,LOC,на
язык,ADV1-UN,на
результат,S0_CAUSFUNC0,достижение
пример,MAGN,яркий
разнос,OPER1,устраивать
отставка,CAUSOPER1,отправлять
январь,LOC,в
доверие,S0_FINOPER1,утрата
брешь,CAUSFUNC0,пробивать
город,LOC,в
баталия,LOC,в
город,LOC,в
опыт,INCEPOPER1,накапливать
область,LOC,в
жуковский,LOC,в
решение,S0_OPER1,принятие
задача,CAUSFUNC0,ставить
жуковский,LOC,в
жуковский,LOC,в
выборы,FUNC0,проходить
место,LOC,в
жуковский,LOC,в
работать,MAGN,много
бизнес,OPER1,заниматься
интерес,OPER1,иметь
жуковский,LOC,в
город,LOC,в
город,LOC,в
год,LOC,в
город,LOC,в
москва,LOC,в
жуковский,LOC,в
жуковский,LOC,в
защита,INCEPOPER1,выступать
кпрф,SING,член
обед,ADV2-UN,на
жуковский,LOC,в
жуковский,LOC,в
год,LOC,в
город,LOC,в
дом,LOC,в
окраина,LOC,на
жить,BON,счастливо
область,LOC,в
год,LOC,в
выбор,OPER1,делать
деньги,MAGN,большой
город,LOC,в
надежда,ADV1-UN,в
очередь,INCEPOPER1,вставать
законопроект,CAUSFACT0-M,принимать
законопроект,CAUSFACT0-M,вводить
дума,LOC,в
цель,MAGN,главный
государство,LOC,в
век,LOC,в
свобода,FINOPER1,лишаться
законопроект,CAUSFACT0-M,принимать
мир,LOC,в
законопроект,CAUSFACT0-M,принимать
статья,LOC,в
школа,LOC,в
закон,S0_CAUSFUNC0,принятие
школа,LOC,в
школа,LOC,в
власть,INCEPOPER1,приходить
лес,LOC,в
расследование,FUNC0,идти
документ,INCEPOPER1,получать
причина,ADV2-UN,по
точка,CAUSFUNC0,ставить
изменение,OPER2,претерпевать
преступление,OPER1,совершать
ветер,INCEPFUNC0,задуть
начало,LOC,в
голос,FUNC0,раздаваться
борьба,OPER1,вести
фон,LOC,на
группа,CAP,руководитель
год,LOC,в
вариант,ADV1-UN,в
расстрел,S0_OPER1,проведение
расстрел,S0_OPER1,проведение
катынь,LOC,в
решение,OPER1,выносить
последствие,OPER1,иметь
последствие,MAGN,тяжелый
март,LOC,в
законодательство,S0_ANTIREAL3-M,нарушение
статья,LOC,в
надежда,ANTIMAGN,слабый
проблема,CAUSFACT0-M,решать
вопрос,INCEPFUNC0,возникать
конфуз,FUNC0,происходить
несостоятельность,MAGN,полный
вопрос,S0_REAL3-M,ответ
преступление,OPER1,совершать
обвинение,S0_OPER1,предъявление
польша,LOC,в
апрель,LOC,в
обязанность,REAL1-M,исполнять
москва,LOC,в
май,LOC,в
гриф,OPER2,иметь
гриф,LABOR1-2,снабжать
решение,OPER1,принимать
апрель,LOC,в
значение,OPER1,иметь
сила,OPER1,иметь
декларация,OPER1,принимать
значение,OPER1,иметь
значение,MAGN,важный
печать,ADV2-UN,в
решение,OPER1,принимать
недоверие,OPER1,испытывать
недоверие,MAGN,стойкий
речь,FUNC0,идти
решение,OPER1,принимать
претензия,OPER1,предъявлять
страна,LOC,в
игра,OPER1,вести
высота,OPER1,достигать
сомнение,LABOR1-2,ставить
тираж,OPER1,иметь
издание,ADV2-UN,в
сомнение,CAUSFUNC1,сеять
катынь,LOC,в
год,LOC,в
хатынь,LOC,в
хатынь,LOC,в
уровень,LOC,на
плен,ADV2-UN,в
год,LOC,в
комитет,CAP,председатель
данные,ADV2-UN,по
заблуждение,CAUSOPER1,вводить
россия,LOC,в
критика,LABOR1-2,подвергать
вопрос,OPER1,ставить
упор,OPER1,делать
возможность,OPER1,иметь
основа,LOC,в
год,LOC,в
польша,LOC,в
плен,INCEPOPER2,попадать
ссср,LOC,в
вопрос,S0_CAUSFACT0-M,решение
россия,LOC,в
экзамен,ANTIREAL2-M,проваливать
действие,OPER1,предпринимать
год,LOC,в
мечта,FACT0-M,сбываться
шаг,OPER1,делать
точка,CAUSFUNC0,ставить
школа,CAP,директор
дума,LOC,в
хиджаб,REAL1,носить
роль,OPER1,играть
противоположный,MAGN,диаметрально
страна,LOC,в
регион,LOC,в
убыль,INCEPOPER1,пойти
проблема,INCEPFUNC0,возникать
страна,LOC,в
район,LOC,в
решение,OPER1,принимать
школа,LOC,в
роль,MAGN,большой
план,FUNC1,быть
подъем,LOC,на
право,INCEPOPER1,получать
школа,LOC,в
результат,ADV2-UN,в
одежда,REAL1,носить
школа,LOC,в
хиджаб,REAL1,носить
противоречие,LIQUFUNC0,снимать
результат,ADV2-UN,в
распорядок,ANTIREAL1-M,нарушать
право,FUNC1,быть
медучреждение,LOC,в
обряд,S0_OPER1,проведение
обряд,S0_OPER1,отправление
путь,LOC,на
проблема,FUNC0,быть
согласие,OPER1,давать
результат,ADV2-UN,в
результат,ADV2-UN,в
состояние,OPER1,находиться
результат,ADV2-UN,в
распорядок,ANTIREAL1-M,нарушать
вид,ADV1-UN,в
право,FUNC1,быть
опасность,FUNC0,быть
основа,ADV2-UN,на
отношение,INCEPOPER1,строить
момент,LOC,в
энтузиазм,MAGN,большой
общение,VER,непосредственный
договор,CAUSFUNC0,заключать
пиво,REAL1,пить
время,LOC,в
район,LOC,в
защита,INCEPOPER1,вставать
европа,LOC,в
стокгольм,LOC,в
удовольствие,OPER1,получать
рим,LOC,в
март,LOC,в
улица,LOC,на
последствие,OPER1,приводить
полномочие,FINOPER1,слагать
комиссия,CAP,глава
усилие,OPER1,предпринимать
земля,SING,участок
штат,LOC,в
эффект,OPER1,производить
владивосток,LOC,в
корея,LOC,в
россия,LOC,в
интернет,LOC,в
экзамен,OPER2,сдавать
момент,LOC,в
вопрос,OPER1,задавать
важный,MAGN,чрезвычайно
заниматься,MAGN,активно
сша,LOC,в
закон,CAUSFUNC0,принимать
европа,LOC,в
берег,LOC,на
сбор,FUNC0,идти
сеть,LOC,в
законопроект,CAUSFUNC0,вносить
пост,FINOPER1,уходить
результат,OPER1,приносить
новость,INCEPREAL1-M,узнавать
